"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.005884231","134.224.67.86","192.168.1.44","UDP","188","8801  >  53820 Len=146"
"3","0.005914879","134.224.67.86","192.168.1.44","UDP","187","8801  >  53820 Len=145"
"7","0.014561136","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"10","0.015322296","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"11","0.025058504","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"14","0.029594792","134.224.67.86","192.168.1.44","TLSv1.2","111","Application Data"
"16","0.030361296","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=46 Ack=46 Win=16 Len=0 TSval=1380029372 TSecr=3700321552"
"17","0.030394580","134.224.67.86","192.168.1.44","TLSv1.2","111","Application Data"
"19","0.046598166","134.224.67.86","192.168.1.44","UDP","326","8801  >  53820 Len=284"
"25","0.087059495","134.224.67.86","192.168.1.44","UDP","340","8801  >  53820 Len=298"
"26","0.092030789","134.224.67.86","192.168.1.44","UDP","353","8801  >  53820 Len=311"
"27","0.092055098","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=91 Ack=91 Win=16 Len=0 TSval=1380029434 TSecr=3700321576"
"28","0.095553647","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"29","0.096168328","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"31","0.105624377","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"32","0.107148473","134.224.67.86","192.168.1.44","UDP","926","8801  >  57091 Len=884"
"33","0.107590182","134.224.67.86","192.168.1.44","UDP","349","8801  >  53820 Len=307"
"34","0.127736821","134.224.67.86","192.168.1.44","UDP","926","8801  >  57091 Len=884"
"37","0.132213875","134.224.67.86","192.168.1.44","UDP","958","8801  >  57091 Len=916"
"38","0.132240599","134.224.67.86","192.168.1.44","UDP","340","8801  >  53820 Len=298"
"39","0.132282810","134.224.67.86","192.168.1.44","UDP","316","8801  >  53820 Len=274"
"44","0.154308034","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"45","0.155693776","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"46","0.155721015","134.224.67.86","192.168.1.44","UDP","309","8801  >  53820 Len=267"
"47","0.155732811","134.224.67.86","192.168.1.44","TLSv1.2","160","Application Data"
"51","0.176282129","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"52","0.177750601","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=185 Ack=141 Win=16 Len=0 TSval=1380029520 TSecr=3700321702"
"55","0.188026244","134.224.67.86","192.168.1.44","UDP","301","8801  >  53820 Len=259"
"59","0.219043559","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"60","0.227288315","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"61","0.228855013","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"62","0.229356223","134.224.67.86","192.168.1.44","UDP","301","8801  >  53820 Len=259"
"63","0.229384553","134.224.67.86","192.168.1.44","UDP","295","8801  >  53820 Len=253"
"64","0.236856978","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"65","0.237660957","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"66","0.247805712","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"67","0.248323992","134.224.67.86","192.168.1.44","UDP","1234","8801  >  57091 Len=1192"
"68","0.248837117","134.224.67.86","192.168.1.44","UDP","286","8801  >  53820 Len=244"
"73","0.269404421","134.224.67.86","192.168.1.44","UDP","280","8801  >  53820 Len=238"
"77","0.291573077","134.224.67.86","192.168.1.44","UDP","276","8801  >  53820 Len=234"
"79","0.308756675","134.224.67.86","192.168.1.44","UDP","1257","8801  >  57091 Len=1215"
"81","0.309422681","134.224.67.86","192.168.1.44","UDP","1256","8801  >  57091 Len=1214"
"86","0.327694993","134.224.67.86","192.168.1.44","UDP","1256","8801  >  57091 Len=1214"
"87","0.330613580","134.224.67.86","192.168.1.44","UDP","163","8801  >  53820 Len=121"
"88","0.330648184","134.224.67.86","192.168.1.44","UDP","164","8801  >  53820 Len=122"
"89","0.330658276","134.224.67.86","192.168.1.44","UDP","165","8801  >  53820 Len=123"
"90","0.360728300","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"95","0.363602207","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"96","0.369686680","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"97","0.372224677","134.224.67.86","192.168.1.44","UDP","166","8801  >  53820 Len=124"
"98","0.372256723","134.224.67.86","192.168.1.44","UDP","163","8801  >  53820 Len=121"
"102","0.401715535","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
